citywide_screening_rank,mesh_code,label,residential_buildings,estimated_elderly,centroid_transport,weighted_transport_mean,weighted_transport_p90,centroid_medical,weighted_medical_mean,weighted_medical_p90
245,533903632,矢崎周辺,35,12.999999999999996,159.98626234714308,85.85407781061751,136.5264858004519,553.9404426891039,491.25519734839594,539.756150503326
246,533903154,大庭隧道周辺,476,361.0,24.18324259823268,110.34089489753362,186.65624735393442,331.4797672296348,239.92309999640443,337.0940242723988
247,533903641,慶応中高降車場周辺,52,20.0,146.84552986874778,197.89942248579877,235.91216277564754,324.1115700314255,404.20183957942646,443.4354420674464
248,533903064,住宅前周辺,871,810.0,228.1393462745407,165.25724624866515,236.91464360573968,24.887801614230728,172.79000434729286,230.61031859764503
249,533903083,日本精工前周辺,338,638.0,54.42925002454894,93.42667096653247,134.31598283383576,92.96644673904079,182.74692923318597,294.9796574378366
25,533903252,有藤周辺,169,211.0,343.94494742783024,195.54993491157063,310.59537488105525,624.0380356592555,518.1251113936945,576.6080439458332
250,533903452,二番構保健医療センター周辺,351,1276.0000000000002,34.25075240381902,122.92902828584965,202.5721144423662,124.81458714764015,130.16527487341867,194.54661053614484
251,533903194,藤が岡8号周辺,729,647.0,62.576826281260274,78.18643891621349,146.32881556904013,76.6671458815643,169.41883643052392,287.8910918635184
252,533903264,老人センター周辺,10,5.0,364.66261965046294,38.964893052815285,57.70777891555124,291.0762636903095,404.09307560675,415.758118110892
253,523973584,湘南港桟橋周辺,25,14.0,88.73748931213254,133.7635360888991,150.931444782644,1216.8306353789494,1095.1547628108758,1118.7975242574037
254,533903774,今田上原周辺,457,493.99999999999994,102.47323624187683,133.86837735566064,212.25644514629153,33.96592674587439,121.89319487516136,207.28235979924648
256,533903442,南大平周辺,296,771.0,21.31673928969136,149.44021602333854,217.64446123246404,103.00534492659102,120.21164911075535,178.91493446374108
257,533903183,白旗交差点周辺,531,512.0,39.187860079563315,108.63225645198466,156.0317934716774,86.67629969067488,140.21680344397294,223.49692353042857
258,533903353,羽根沢周辺,358,536.0,37.278552862862036,182.6301619924298,274.9679138784277,65.81125716911792,195.53903415661352,320.0339284478893
259,533903653,秋葉台小学校周辺,194,163.0,65.7410180587485,142.3559994345512,235.83780515309724,50.90549348114646,171.5361131375841,252.29714071371157
26,533903872,下高倉周辺,582,436.0,387.9062264249978,383.49831822461175,567.0292125780647,333.62835368442865,282.9151855211436,394.73357996355173
260,523973961,浜見山周辺,726,561.0,13.549595849522932,135.1757537309846,207.4356811083269,171.18677457015664,136.294690413338,204.57649229074434
261,533903192,赤坂下周辺,980,948.0,93.14084117551005,122.60616980709115,246.9972168591511,14.10254012747365,188.2766497189632,265.3657573641753
262,523973964,東町周辺,782,624.0,17.04712585387923,125.90985239606273,213.2860315747261,50.29167333584006,165.27168138283565,268.9324792855586
263,533903084,三富士町周辺,319,968.0,14.058919484765594,143.6918111748636,233.37515233872867,46.40307698642687,54.311341675451295,80.05834259218392
27,533903862,とどろき公園周辺,400,384.99999999999994,237.72866105794694,191.02938218160446,443.35833176211554,541.2915501139677,498.0386435836205,700.9518553422535
28,533903063,新町一丁目周辺,829,941.0,267.5612491957263,164.68057446582705,241.2425229817259,250.6395166741809,212.77011131496593,327.4474938812997
29,533904104,渡内第三会館前周辺,507,542.0,323.1602857085247,283.00973371577305,448.4833830186113,305.02673324,325.2339915170268,430.12127815980807
3,533913064,上谷台周辺,344,511.0,585.3751212538793,540.464371475885,660.7106622214718,742.6973965808464,666.5141643913813,904.2740274357375
30,533904101,高谷周辺,665,532.0,285.90911340463964,224.4575341955209,371.9965605874646,331.15928947573946,338.17812772994677,513.406057744806
31,533903764,北警察署前周辺,276,463.0,268.0510084403829,156.33651718044914,275.38149627631304,382.07131406249636,284.5661123864481,489.604107587233
