mesh_code,centroid_transport_distance,weighted_mean_transport_distance,weighted_median_transport_distance,weighted_p90_transport_distance,transport_difference,centroid_medical_distance,weighted_mean_medical_distance,weighted_median_medical_distance,weighted_p90_medical_distance,medical_difference,population_weighted_mean_transport_distance,population_weighted_median_transport_distance,population_weighted_p90_transport_distance,population_weighted_mean_medical_distance,population_weighted_median_medical_distance,population_weighted_p90_medical_distance,residential_building_count,estimated_population_allocated,estimated_elderly_allocated,citywide_screening_rank,label
533512481,203.81836879734527,137.53482779231405,137.78274136979005,207.30211376821364,-66.28354100503122,223.44648207730202,151.9531648033869,149.47856058353273,213.07305236309483,-71.49331727391512,137.5348277923141,137.78274136979005,207.30211376821364,151.95316480338693,149.47856058353273,213.07305236309483,210,393.0,135.00000000000003,238,昭和台周辺
533512482,193.63335969534182,227.34319307921962,221.95538291892643,344.982513958994,33.70983338387779,252.8965954960703,270.9102096318862,283.3420011772352,386.4129075125022,18.013614135815885,227.34319307921962,221.95538291892643,344.982513958994,270.9102096318862,283.3420011772352,386.4129075125022,476,1398.0,314.0,231,天台周辺
533512542,1277.6636645903181,1178.6285678092843,1180.5907371550647,1235.5921943018843,-99.03509678103387,1311.820511022164,1171.1440543218498,1172.3393333120116,1222.7293923775899,-140.67645670031425,1178.6285678092843,1180.5907371550647,1235.5921943018843,1171.1440543218494,1172.3393333120116,1222.7293923775899,98,173.00000000000003,69.0,22,下福井周辺
533512551,1143.3089616982988,1250.303500199381,1266.8446760229076,1303.1283822211708,106.99453850108216,1098.280423972322,1231.1654427860499,1222.9701431159021,1317.5418259569758,132.8850188137278,1250.303500199381,1266.8446760229076,1303.1283822211708,1231.1654427860497,1222.9701431159021,1317.5418259569758,43,37.0,12.999999999999998,117,合同庁舎前周辺
533512553,1306.4595930769244,1321.767776803873,1329.3809655472114,1344.593546490221,15.308183726948528,1556.6224480496833,1356.7675891703745,1367.5416825131203,1377.4470054887552,-199.85485887930872,1321.767776803873,1329.3809655472114,1344.593546490221,1356.7675891703748,1367.5416825131203,1377.4470054887552,11,21.0,9.0,127,二尾周辺
533512561,311.8748319816084,236.98039649678043,267.25443695909007,343.07989568156825,-74.89443548482797,957.9785692244318,964.0143620446038,990.1988813752417,1141.8195871226733,6.0357928201719915,236.9803964967804,267.25443695909007,343.07989568156825,964.0143620446038,990.1988813752417,1141.8195871226733,169,246.0,104.0,108,東吉原周辺
533512563,184.38741202237432,117.53510931870014,115.22579373265809,145.0490009533349,-66.85230270367418,1402.4071112461568,1378.8047831732054,1298.547611340544,1508.6156499227852,-23.602328072951423,117.53510931870015,115.22579373265809,145.0490009533349,1378.8047831732051,1298.547611340544,1508.6156499227852,6,67.0,22.0,189,二尾周辺
533512581,391.564166873634,297.07809338539954,277.9159785509174,462.99036416942914,-94.48607348823447,930.2425990980211,750.6856360387291,727.6955281202376,853.815692530892,-179.556963059292,297.0780933853997,277.9159785509174,462.99036416942914,750.6856360387293,727.6955281202376,853.815692530892,75,127.0,68.00000000000003,102,五老トンネル西口周辺
533512582,156.38218560847886,180.24068514982164,117.58763116278392,339.7142969878381,23.85849954134278,995.2282171336259,963.8099629641183,1003.6743191289264,1049.780151223823,-31.418254169507577,180.24068514982162,117.58763116278392,339.7142969878381,963.8099629641183,1003.6743191289264,1049.780151223823,10,34.0,21.0,217,五老ヶ岳公園口周辺
533512584,339.39266214500185,346.45080046709745,345.5531263290121,373.1006205642949,7.058138322095601,771.5003850409812,643.8093282097732,539.8361923068502,838.5899674639646,-127.69105683120802,346.4508004670974,345.5531263290121,373.1006205642949,643.8093282097731,539.8361923068502,838.5899674639646,32,47.0,12.0,198,五老ヶ岳公園口周辺
